# OneMapToRuleThemAll — default object catalog (shipped)
# This is the catalog a fresh install starts from. It is AUTHORITATIVE and is
# never overwritten once written. Edit it to change what is tracked, or delete
# it and run om_gencatalog to regenerate against the current game version.
#
# Built from the game itself, not from keyword guesses:
#   category = the prefab's components
#   name     = HoverText, else the dropped item's localized name
#   icon     = the ObjectDB item the object actually drops
#   biome    = ZoneSystem vegetation/location data
#
# Rows are grouped by name: prefabs the game calls the same thing share one
# row, one toggle and one pin label. The exact prefabs behind each row are
# listed in the trailing comment, so identity is per-prefab, not by substring.
#
# COMMENTED rows are tracked=OFF by default. Uncomment to enable.
#
# Row ORDER is irrelevant: objects resolve by exact prefab name, not by
# substring, so rows are sorted purely for readability.
#
# Format:  Biome | Type | Keyword | Display | Abbr | Icon
#   Abbr defaults to the Display in PascalCase with separators removed
#   (Copper vein -> CopperVein). It is the label drawn on the pin, so edit
#   it freely; blank falls back to a Display truncation.
#
# Trailing comment: the exact prefabs behind the row, then the evidence for
# how it was classified.
#   bsrc=data     biome read from ZoneSystem vegetation / SpawnSystem / locations
#   bsrc=curated  no placement table lists this prefab; value hand-checked
#   bsrc=name     inferred from the prefab-name prefix (a guess)
#   bsrc=none     no biome could be determined at all
#   type/tier/pick/chop  the Destructible fields the Ore-vs-Tree call used

# ── Creature ──────────────────────────────────────────
AshLands | Creature | Asksvin | Asksvin | Asksvin |    # Asksvin bsrc=data
AshLands | Spawner | MonumentofTorment | Monument of Torment | MonumentOfTorment | Grausten   # Spawner_CharredStone, Spawner_CharredStone_Elite, Spawner_CharredStone_event bsrc=name type=Default tier=0 pick=Normal chop=Normal
BlackForest | Spawner | GreydwarfNest | Greydwarf Nest | GreydwarfNest | AncientSeed   # Spawner_GreydwarfNest bsrc=name type=Default tier=0 pick=Ignore chop=Normal
Swamp | Spawner | EvilBonePile | Evil Bone Pile | EPile |    # BonePileSpawner bsrc=author type=Default tier=0 pick=Immune chop=Immune
# BlackForest | Spawner | EvilHeartForest | EvilHeart_Forest | EvilHeartForest | AncientSeed   # EvilHeart_Forest bsrc=author type=Default tier=0 pick=Immune chop=Immune
Swamp | Spawner | BodyPile | Body Pile | Pile |    # Spawner_DraugrPile bsrc=name type=Default tier=0 pick=Ignore chop=Ignore
# Swamp | Spawner | EvilHeartSwamp | EvilHeart_Swamp | EvilHeartSwamp | AncientSeed   # EvilHeart_Swamp bsrc=name type=Default tier=0 pick=Immune chop=Immune

# Added for the Deep North release (see the note in the Creature section).
General | Spawner | HexahedricPulp | Hexahedric Pulp | HexahedricPulp | IronScrap   # BlobMorkBig bsrc=none type=Default tier=0 pick=Resistant chop=Normal
General | Spawner | WardrobeShaft | Wardrobe Shaft | WardrobeShaft | Frostwood   # Spawner_Hole bsrc=none type=Default tier=0 pick=Weak chop=Normal
Mountain | Spawner | MaliciousIce | Malicious Ice | MaliciousIce | HatefulBlood   # BlackIce_Core bsrc=name type=Default tier=0 pick=Weak chop=Weak

# ── Location ──────────────────────────────────────────
# AshLands | Location | AshlandsRuin | Ashlands Ruin | AshlandsRuin |    # AshlandRuins bsrc=data
AshLands | Location | CharredFortress | Charred Fortress | Fort |    # CharredFortress bsrc=data
# AshLands | Location | CharredRuin | Charred Ruin | CharredRuin |    # CharredRuins1, CharredRuins2, CharredRuins3, CharredRuins4 bsrc=data
# AshLands | Location | CharredSpawner | Charred Spawner | CharredSpawner |    # CharredStone_Spawner bsrc=data
# AshLands | Location | CharredTower | Charred Tower | CharredTower |    # CharredTowerRuins1, CharredTowerRuins1_dvergr, CharredTowerRuins2, CharredTowerRuins3 bsrc=data
# AshLands | Location | FaderAltar | Fader Altar | FaderAltar |    # FaderLocation bsrc=data
# AshLands | Location | FortressRuin | Fortress Ruin | FortressRuin |    # FortressRuins bsrc=data
# AshLands | Location | LeviathanLava | LeviathanLava | LeviathanLava |    # LeviathanLava bsrc=data
AshLands | Location | MorgenHole | Morgen Hole | Morgen |    # MorgenHole1, MorgenHole2, MorgenHole3 bsrc=data
AshLands | Location | PlaceofMystery | Place of Mystery | Mystery |    # PlaceofMystery1, PlaceofMystery2, PlaceofMystery3 bsrc=data
# AshLands | Location | SulfurArch | Sulfur Arch | SulfurArch |    # SulfurArch bsrc=data
# AshLands | Location | VoltureNest | Volture Nest | VoltureNest |    # VoltureNest bsrc=data
BlackForest | Location | BurialChamber | Burial Chamber | BC |    # Crypt2, Crypt3, Crypt4, Hildir_crypt bsrc=data
# BlackForest | Location | GreydwarfCamp | Greydwarf Camp | GreydwarfCamp |    # Greydwarf_camp1 bsrc=data
# BlackForest | Location | HaldorTrader | Haldor (Trader) | HaldorTrader |    # Vendor_BlackForest bsrc=data
# BlackForest | Location | RockClearing | Rock Clearing | RockClearing |    # BigRockClearing bsrc=data
# BlackForest | Location | Ruin | Ruin | Ruin |    # CombatRuin01, Mistlands_GuardTower1_ruined_new, Mistlands_GuardTower1_ruined_new2, Mistlands_GuardTower3_ruined_new, Ruin1, Ruin2, Ruin3 bsrc=data
# Meadows | Location | Runestone | Runestone | Runestone |    # Runestone_Ashlands, Runestone_BlackForest, Runestone_Boars, Runestone_Draugr, Runestone_Greydwarfs, Runestone_Meadows, Runestone_Mistlands, Runestone_Mountains, Runestone_Plains, Runestone_Swamps bsrc=author
# BlackForest | Location | TheElderAltar | The Elder Altar | TheElderAltar |    # GDKing bsrc=data
BlackForest | Location | TrollCave | Troll Cave | Troll |    # TrollCave02 bsrc=data
Meadows | Location | AbandonedFarm | Abandoned Farm | Farm |    # WoodFarm1 bsrc=data
Meadows | Location | Beehive | Beehive | BeeHive | QueenBee   # Beehive bsrc=curated
# Meadows | Location | AbandonedVillage | Abandoned Village | AbandonedVillage |    # WoodVillage1 bsrc=data
# Meadows | Location | Dolmen | Dolmen | Dolmen |    # Dolmen01, Dolmen02, Dolmen03 bsrc=data
# Meadows | Location | EikthyrAltar | Eikthyr Altar | EikthyrAltar |    # Eikthyrnir bsrc=data
# Meadows | Location | SacrificialStones | Sacrificial Stones | SacrificialStones |    # StartTemple bsrc=data
# Meadows | Location | ShipSetting | Ship Setting | ShipSetting |    # ShipSetting01 bsrc=data
# Meadows | Location | StoneCircle | Stone Circle | StoneCircle |    # StoneCircle bsrc=data
# Meadows | Location | WoodHouse | Wood House | WoodHouse |    # WoodHouse1, WoodHouse10, WoodHouse11, WoodHouse12, WoodHouse13, WoodHouse2, WoodHouse3, WoodHouse4, WoodHouse5, WoodHouse6, WoodHouse7, WoodHouse8, WoodHouse9 bsrc=data
# Mistlands | Location | DvergrExcavation | Dvergr Excavation | DvergrExcavation |    # Mistlands_Excavation1, Mistlands_Excavation2, Mistlands_Excavation3 bsrc=data
# Mistlands | Location | DvergrGuardTower | Dvergr Guard Tower | DvergrGuardTower |    # Mistlands_GuardTower1_new, Mistlands_GuardTower2_new, Mistlands_GuardTower3_new bsrc=data
# Mistlands | Location | DvergrHarbour | Dvergr Harbour | DvergrHarbour |    # Mistlands_Harbour1 bsrc=data
# Mistlands | Location | DvergrLighthouse | Dvergr Lighthouse | DvergrLighthouse |    # Mistlands_Lighthouse1_new bsrc=data
# Mistlands | Location | GiantRemains | Giant Remains | GiantRemains |    # Mistlands_Giant1, Mistlands_Giant2 bsrc=data
Mistlands | Location | InfestedMine | Infested Mine | Mine |    # Mistlands_DvergrTownEntrance1, Mistlands_DvergrTownEntrance2 bsrc=data
# Mistlands | Location | QueensLair | Queen's Lair | QueensLair |    # Mistlands_DvergrBossEntrance1 bsrc=data
# Mistlands | Location | RoadPost | Road Post | RoadPost |    # Mistlands_RoadPost1 bsrc=data
# Mistlands | Location | RockSpire | Rock Spire | RockSpire |    # Mistlands_RockSpire1 bsrc=data
# Mistlands | Location | Statue | Statue | Statue |    # Mistlands_Statue1, Mistlands_Statue2 bsrc=data
# Mistlands | Location | Statues | Statues | Statues |    # Mistlands_StatueGroup1 bsrc=data
# Mistlands | Location | SwordStones | Sword Stones | SwordStones |    # Mistlands_Swords1, Mistlands_Swords2, Mistlands_Swords3 bsrc=data
# Mistlands | Location | Viaduct | Viaduct | Viaduct |    # Mistlands_Viaduct1, Mistlands_Viaduct2 bsrc=data
# Mountain | Location | DrakeNest | Drake Nest | DrakeNest |    # DrakeNest01 bsrc=data
# Meadows | Location | HildirsCamp | Hildir's Camp | HildirsCamp |    # Hildir_camp, Hildir_cave, Hildir_plainsfortress bsrc=author
# Mountain | Location | LogCabin | Log Cabin | LogCabin |    # AbandonedLogCabin02, AbandonedLogCabin03, AbandonedLogCabin04 bsrc=data
# Mountain | Location | Lorestone | Lorestone | Lorestone |    # DrakeLorestone bsrc=data
# Mountain | Location | ModerAltar | Moder Altar | ModerAltar |    # Dragonqueen bsrc=data
Mountain | Location | MountainCave | Mountain Cave | Cave |    # MountainCave02 bsrc=data
# Mountain | Location | TowerRuin | Tower Ruin | TowerRuin |    # StoneTowerRuins03, StoneTowerRuins04, StoneTowerRuins05, StoneTowerRuins07, StoneTowerRuins08, StoneTowerRuins09, StoneTowerRuins10 bsrc=data
# Mountain | Location | Waymarker | Waymarker | Waymarker |    # Waymarker01, Waymarker02 bsrc=data
Plains | Location | FulingCamp | Fuling Camp | Camp |    # GoblinCamp2 bsrc=data
Plains | Location | StoneHenge | Stone Henge | Henge |    # StoneHenge1, StoneHenge2, StoneHenge3, StoneHenge4, StoneHenge5, StoneHenge6 bsrc=data
# Plains | Location | StoneHouse | Stone House | StoneHouse |    # StoneHouse1_heath, StoneHouse2_heath, StoneHouse3, StoneHouse4, StoneHouse5_heath bsrc=data
# Plains | Location | StoneTower | Stone Tower | StoneTower |    # StoneTower1, StoneTower3 bsrc=data
Plains | Location | TarPit | Tar Pit | Tar |    # TarPit1, TarPit2, TarPit3 bsrc=data
# Plains | Location | YagluthAltar | Yagluth Altar | YagluthAltar |    # GoblinKing bsrc=data
# Swamp | Location | BogWitchsCamp | Bog Witch's Camp | BogWitchsCamp |    # BogWitch_Camp bsrc=data
# Swamp | Location | BonemassAltar | Bonemass Altar | BonemassAltar |    # Bonemass bsrc=data
Swamp | Location | FireHole | Fire Hole | Fire |    # FireHole bsrc=data
# Swamp | Location | Grave | Grave | Grave |    # Grave1, MountainGrave01 bsrc=data
# Swamp | Location | InfestedTree | Infested Tree | InfestedTree |    # InfestedTree01 bsrc=data
Meadows | Location | Shipwreck | Shipwreck | Wreck |    # ShipWreck01, ShipWreck02, ShipWreck03, ShipWreck04 bsrc=author
Swamp | Location | SunkenCrypt | Sunken Crypt | Crypt |    # SunkenCrypt4 bsrc=data
# Swamp | Location | SwampHut | Swamp Hut | SwampHut |    # SwampHut1, SwampHut2, SwampHut3, SwampHut4, SwampHut5 bsrc=data
# Swamp | Location | SwampRuin | Swamp Ruin | SwampRuin |    # SwampRuin1, SwampRuin2 bsrc=data
Swamp | Location | Well | Well | Well |    # MountainWell1, SwampWell1 bsrc=data

# Added for the Deep North release (see the note in the Creature section). Location rows
# ship commented out because the mod has no curated display name for these sites, so the
# Display below falls back to the raw prefab name — uncomment the ones you want pinned,
# and edit the Display and Abbr to whatever you want the pin to read.
# BlackForest | Location | BearCave | BearCave | BearCave |    # BearCave bsrc=data
# DeepNorth | Location | DNBossroom | DN_Bossroom | DNBossroom |    # DN_Bossroom bsrc=data
# DeepNorth | Location | DNgammeltrollFrac01 | DN_gammeltrollFrac01 | DNGammeltrollFrac01 |    # DN_gammeltrollFrac01 bsrc=data
# DeepNorth | Location | DNgammeltrollFrac02 | DN_gammeltrollFrac02 | DNGammeltrollFrac02 |    # DN_gammeltrollFrac02 bsrc=data
# DeepNorth | Location | DNhut01 | DN_hut01 | DNHut01 |    # DN_hut01 bsrc=data
# DeepNorth | Location | FrozenShip01DN | FrozenShip01_DN | FrozenShip01DN |    # FrozenShip01_DN bsrc=data
# DeepNorth | Location | FrozenShip02DN | FrozenShip02_DN | FrozenShip02DN |    # FrozenShip02_DN bsrc=data
# DeepNorth | Location | FrozenShip03DN | FrozenShip03_DN | FrozenShip03DN |    # FrozenShip03_DN bsrc=data
# DeepNorth | Location | IcePond1 | IcePond1 | IcePond1 |    # IcePond1 bsrc=data
# DeepNorth | Location | LumberCamp | LumberCamp | LumberCamp |    # LumberCamp bsrc=data
# DeepNorth | Location | MorkBorg | MorkBorg | MorkBorg |    # MorkBorg bsrc=data
# DeepNorth | Location | NorthMemorialPlace | NorthMemorialPlace | NorthMemorialPlace |    # NorthMemorialPlace bsrc=data
# DeepNorth | Location | NorthVillage | NorthVillage | NorthVillage |    # NorthVillage bsrc=data
# DeepNorth | Location | TheHole01 | TheHole01 | TheHole01 |    # TheHole01 bsrc=data
# Mountain | Location | AncientUpgradeStation | AncientUpgradeStation | AncientUpgradeStation |    # AncientUpgradeStation bsrc=data
# Plains | Location | GoblinHut01 | GoblinHut01 | GoblinHut01 |    # GoblinHut01 bsrc=data
# Plains | Location | GoblinHut02 | GoblinHut02 | GoblinHut02 |    # GoblinHut02 bsrc=data
# Plains | Location | GoblinHut03 | GoblinHut03 | GoblinHut03 |    # GoblinHut03 bsrc=data

# ── Tree ──────────────────────────────────────────
# AshLands | Tree | Branch | Branch | Branch | Blackwood   # AshlandsBranch2 bsrc=data type=Tree tier=0 pick=Normal chop=Normal
# AshLands | Tree | Log | Log | Log | Blackwood   # AshlandsBranch1, AshlandsBranch3, FirTree_oldLog bsrc=data type=Tree tier=0 pick=Normal chop=Normal
# AshLands | Tree | ScorchedTree | Scorched Tree | ScorchedTree | Blackwood   # AshlandsTree1, AshlandsTree3, AshlandsTree4, AshlandsTree5, AshlandsTree6, AshlandsTree6_big bsrc=data type=Tree(TreeBase) health=200
# AshLands | Tree | Stump | Stump | Stump | Blackwood   # AshlandsTreeStump1, AshlandsTreeStump2, AshlandsTreeStump3, Beech_Stub, BirchStub, FirTree_Stub, OakStub, Pinetree_01_Stub, ShootStump, SwampTree1_Stub bsrc=name type=Tree tier=0 pick=Normal chop=Normal
AshLands | Tree | UnstableLavaRock | Unstable Lava Rock | UnstableLavaRock | ProustitePowder   # UnstableLavaRock bsrc=data type=Default tier=0 pick=Weak chop=Resistant
# BlackForest | Tree | AncientCoffin | Ancient Coffin | AncientCoffin |    # crypt_skeleton_chest bsrc=name type=Default tier=0 pick=Normal chop=Normal
# BlackForest | Tree | Fir | Fir | Fir | Wood   # FirTree, FirTree_small, FirTree_small_dead bsrc=data type=Tree(TreeBase) health=80
# BlackForest | Tree | Pine | Pine | Pine | RoundLog   # Pinetree_01 bsrc=data type=Tree(TreeBase) health=120
# General | Tree | FenrisHair | Fenris Hair | FenrisHair | WolfHairBundle   # fenrirhide_hanging bsrc=none type=Default tier=0 pick=Resistant chop=Normal
Swamp | Tree | GuckSack | Guck Sack | GuckSack | Guck   # GuckSack, GuckSack_small bsrc=author type=Default tier=0 pick=Normal chop=Normal
# Meadows | Tree | Beech | Beech | Beech | Wood   # Beech1, Beech_small1, Beech_small2 bsrc=data type=Tree tier=0 pick=Normal chop=Normal
# Meadows | Tree | Birch | Birch | Birch | FineWood   # Birch1, Birch1_aut, Birch2, Birch2_aut bsrc=data type=Tree(TreeBase) health=80
# Meadows | Tree | Oak | Oak | Oak | FineWood   # Oak1 bsrc=data type=Tree(TreeBase) health=200
# Mistlands | Tree | YggdrasilShoot | Yggdrasil Shoot | YggdrasilShoot | Wood   # YggaShoot1, YggaShoot2, YggaShoot3, YggaShoot_small1 bsrc=data type=Tree tier=4 pick=Normal chop=Normal
# Swamp | Tree | AncientTree | Ancient Tree | AncientTree | ElderBark   # SwampTree1 bsrc=data type=Tree(TreeBase) health=80

# Added for the Deep North release (see the note in the Creature section). Tree rows
# always ship commented out — dense growth would bury the map in pins.
# BlackForest | Tree | LargeBone | Large Bone | LargeBone | BoneFragments   # Greydwarf_Surprise, LargeBone, LargeBone_half01, LargeBone_half02 bsrc=data type=Default tier=0 pick=Normal chop=Normal
# DeepNorth | Tree | TimberTree | Timber Tree | TimberTree | FirCone   # FirTree_big, Pinetree_Snow, Pinetree_Snow_dead, SnowFirTree, SnowFirTree 2 bsrc=data type=Tree(TreeBase) health=200
# General | Tree | AncestralMemorial | Ancestral Memorial | AncestralMemorial | Stone   # MemorialStone_Medium, MemorialStone_Small bsrc=none type=Default tier=0 pick=Normal chop=Normal
# General | Tree | PileofRubble | Pile of Rubble | PileOfRubble | Frostwood   # elaking_trashpile bsrc=none type=Default tier=0 pick=Normal chop=Normal
# General | Tree | WardrobeShaft | Wardrobe Shaft | WardrobeShaft | Frostwood   # Spawner_Hole_double bsrc=none type=Default tier=0 pick=Weak chop=Normal
# Mountain | Tree | MaliciousIce | Malicious Ice | MaliciousIce |    # BlackIce_Core_outer, BlackIce_Start bsrc=name type=Default tier=0 pick=Weak chop=Weak

